Loot ID,Name
239793646,Final Legionary
208557535,Firebird
202525689,Rob Rob
173519635,JCVD49
137049580,randommeenass
125638869,greg86
115496492,zanavar1
100780490,Yosai
94286989,TropicLightning
93425581,Oddjob
84024532,ChxrcoxI
64649737,pomurnik
63752408,Yendor612
61681087,stephen608
57777939,laur105
51454057,andrade78
50464724,servando2
44931118,VASYA
39739912,Annabeth2013
35970866,nniikk
35496941,Mayhem3
32222536,Evolve
31852135,HELLBANIANZ
30878900,Iron Door
26757413,Shadowzgirl
26158986,1Mohican
25429783,the raj
